pclass,survival,sex,age,fare,embarked
3rd,0,male,25,"7,89580011",Southampton
3rd,0,male,24,"24,1499996",Southampton
3rd,0,male,22,"8,05000019",Southampton
3rd,0,male,21,"24,1499996",Southampton
3rd,0,male,17,"8,05000019",Southampton
3rd,1,male,"36,5","17,3999996",Southampton
3rd,1,female,36,"17,3999996",Southampton
3rd,1,male,30,"9,5",Southampton
3rd,0,male,16,"9,5",Southampton
3rd,1,male,1,"20,5750008",Southampton
3rd,1,female,"0,166700006","20,5750008",Southampton
3rd,0,male,26,"20,5750008",Southampton
3rd,1,female,33,"20,5750008",Southampton
3rd,0,male,25,"7,89580011",Southampton
3rd,0,male,22,"7,25",Southampton
3rd,0,male,36,"7,25",Southampton
3rd,1,female,19,"7,87919998",Queenstown
3rd,0,male,17,"7,89580011",Southampton
3rd,0,male,42,"8,66250038",Southampton
3rd,0,male,43,"7,89580011",Southampton
3rd,0,male,32,"7,75",Queenstown
3rd,1,male,19,"8,05000019",Southampton
3rd,1,female,30,"12,4750004",Southampton
3rd,0,female,24,"7,75",Queenstown
3rd,1,female,23,"8,05000019",Southampton
3rd,0,male,33,"7,89580011",Cherbourg
3rd,0,male,65,"7,75",Queenstown
3rd,1,male,24,"7,55000019",Southampton
3rd,0,male,23,"13,8999996",Southampton
3rd,1,female,22,"13,8999996",Southampton
3rd,0,male,18,"7,7750001",Southampton
3rd,0,male,16,"7,7750001",Southampton
3rd,0,male,45,"6,9749999",Southampton
3rd,0,male,39,"7,22919989",Cherbourg
3rd,0,male,17,"7,22919989",Cherbourg
3rd,0,male,15,"7,22919989",Cherbourg
3rd,0,male,47,"7,25",Southampton
3rd,1,female,5,"12,4750004",Southampton
3rd,0,male,"40,5","15,1000004",Southampton
3rd,0,male,"40,5","7,75",Queenstown
3rd,0,male,18,"7,79580021",Southampton
3rd,0,male,26,"7,87919998",Queenstown
3rd,0,female,21,"34,375",Southampton
3rd,0,female,9,"34,375",Southampton
3rd,0,male,18,"34,375",Southampton
3rd,0,male,16,"34,375",Southampton
3rd,0,female,48,"34,375",Southampton
3rd,0,male,25,"7,74170017",Queenstown
3rd,0,male,22,"8,05000019",Southampton
3rd,1,female,16,"7,73330021",Queenstown
3rd,1,male,9,"20,5249996",Southampton
3rd,0,male,33,"20,5249996",Southampton
3rd,0,male,41,"7,8499999",Southampton
3rd,1,female,31,"20,5249996",Southampton
3rd,0,male,38,"7,05000019",Southampton
3rd,0,male,9,"46,9000015",Southampton
3rd,0,male,1,"46,9000015",Southampton
3rd,0,male,11,"46,9000015",Southampton
3rd,0,female,10,"46,9000015",Southampton
3rd,0,female,16,"46,9000015",Southampton
3rd,0,male,14,"46,9000015",Southampton
3rd,0,male,40,"46,9000015",Southampton
3rd,0,female,43,"46,9000015",Southampton
3rd,0,male,51,"8,05000019",Southampton
3rd,0,male,32,"8,36250019",Southampton
3rd,0,male,20,"9,8458004",Southampton
3rd,0,male,37,"7,92500019",Southampton
3rd,0,male,28,"7,92500019",Southampton
3rd,0,male,19,"7,7750001",Southampton
3rd,0,female,24,"8,85000038",Southampton
3rd,0,female,17,"7,73330021",Queenstown
3rd,0,male,28,"15,8500004",Southampton
3rd,1,female,24,"15,8500004",Southampton
3rd,0,male,20,"9,5",Southampton
3rd,0,male,"23,5","7,22919989",Cherbourg
3rd,0,male,41,"14,1083002",Southampton
3rd,0,male,26,"7,85419989",Southampton
3rd,0,male,21,"7,85419989",Southampton
3rd,1,female,45,"14,1083002",Southampton
3rd,0,male,25,"7,25",Southampton
3rd,0,male,11,"18,7875004",Cherbourg
3rd,1,male,27,"6,9749999",Southampton
3rd,0,female,18,"6,75",Queenstown
3rd,1,female,26,"7,92500019",Southampton
3rd,0,female,23,"7,92500019",Southampton
3rd,1,female,22,"8,96249962",Southampton
3rd,0,male,28,"7,89580011",Southampton
3rd,0,female,28,"7,7750001",Southampton
3rd,1,female,2,"12,2875004",Southampton
3rd,1,female,22,"12,2875004",Southampton
3rd,0,male,43,"6,44999981",Southampton
3rd,0,male,28,"22,5249996",Southampton
3rd,1,female,27,"7,92500019",Southampton
3rd,0,male,42,"7,6500001",Southampton
3rd,0,male,30,"7,22919989",Cherbourg
3rd,0,female,27,"7,92500019",Southampton
3rd,0,female,25,"7,92500019",Southampton
3rd,1,male,29,"7,89580011",Cherbourg
3rd,1,male,21,"7,79580021",Southampton
3rd,0,male,20,"7,85419989",Southampton
3rd,0,male,48,"7,85419989",Southampton
3rd,0,male,17,"7,05420017",Southampton
3rd,0,male,34,"6,49580002",Southampton
3rd,1,male,26,"7,7750001",Southampton
3rd,0,male,22,"7,79580021",Southampton
3rd,0,male,33,"8,6541996",Southampton
3rd,0,male,31,"7,7750001",Southampton
3rd,0,male,29,"7,85419989",Southampton
3rd,1,male,4,"11,1332998",Southampton
3rd,1,female,1,"11,1332998",Southampton
3rd,0,male,49,0,Southampton
3rd,0,male,33,"7,7750001",Southampton
3rd,0,male,19,0,Southampton
3rd,1,female,27,"11,1332998",Southampton
3rd,0,male,23,"7,89580011",Southampton
3rd,1,male,32,"7,85419989",Southampton
3rd,0,male,27,"7,85419989",Southampton
3rd,0,female,20,"9,82499981",Southampton
3rd,0,female,21,"9,82499981",Southampton
3rd,1,male,32,"7,92500019",Southampton
3rd,0,male,17,"7,125",Southampton
3rd,0,male,21,"8,43330002",Southampton
3rd,0,male,30,"7,89580011",Southampton
3rd,1,male,21,"7,79580021",Southampton
3rd,0,male,33,"7,85419989",Southampton
3rd,0,male,22,"7,52080011",Southampton
3rd,1,female,4,"13,4167004",Cherbourg
3rd,1,male,39,"13,4167004",Cherbourg
3rd,0,male,"18,5","7,22919989",Cherbourg
3rd,0,male,"34,5","7,82919979",Queenstown
3rd,0,male,44,"8,05000019",Southampton
3rd,0,female,22,"8,66250038",Southampton
3rd,0,male,26,"8,66250038",Southampton
3rd,1,female,4,"22,0249996",Southampton
3rd,1,male,29,"22,0249996",Southampton
3rd,1,female,26,"22,0249996",Southampton
3rd,0,female,1,"12,1833",Southampton
3rd,0,male,18,"7,85419989",Southampton
3rd,0,female,36,"12,1833",Southampton
3rd,1,male,25,"7,22919989",Cherbourg
3rd,0,female,37,"9,58749962",Southampton
3rd,1,female,22,"7,25",Southampton
3rd,1,male,26,"56,4958",Southampton
3rd,0,male,29,"9,48330021",Southampton
3rd,0,male,29,"7,7750001",Southampton
3rd,0,male,22,"7,7750001",Southampton
3rd,1,male,22,"7,2249999",Cherbourg
3rd,0,male,32,"7,92500019",Southampton
3rd,0,male,"34,5","6,4375",Cherbourg
3rd,0,male,36,0,Southampton
3rd,0,male,39,"24,1499996",Southampton
3rd,0,male,24,"9,5",Southampton
3rd,0,female,25,"7,7750001",Southampton
3rd,0,female,45,"7,75",Southampton
3rd,0,male,36,"15,5500002",Southampton
3rd,0,female,30,"15,5500002",Southampton
3rd,1,male,20,"7,92500019",Southampton
3rd,0,male,28,"56,4958",Southampton
3rd,0,male,30,"16,1000004",Southampton
3rd,0,female,26,"16,1000004",Southampton
3rd,0,male,"20,5","7,25",Southampton
3rd,1,male,27,"8,66250038",Southampton
3rd,0,male,51,"7,05420017",Southampton
3rd,1,female,23,"7,85419989",Southampton
3rd,1,male,32,"7,57919979",Southampton
3rd,1,male,24,"7,14169979",Southampton
3rd,0,male,22,"7,125",Southampton
3rd,0,male,29,"7,92500019",Southampton
3rd,0,female,"30,5","7,75",Queenstown
3rd,0,male,35,"7,89580011",Cherbourg
3rd,0,male,33,"7,89580011",Southampton
3rd,1,female,15,"8,0291996",Queenstown
3rd,0,female,35,"7,75",Queenstown
3rd,0,male,24,"16,1000004",Southampton
3rd,0,female,19,"16,1000004",Southampton
3rd,0,male,"55,5","8,05000019",Southampton
3rd,1,male,21,"7,7750001",Southampton
3rd,0,male,24,"7,89580011",Southampton
3rd,0,male,21,"7,89580011",Southampton
3rd,0,male,28,"7,89580011",Southampton
3rd,0,male,25,"7,6500001",Southampton
3rd,1,male,6,"12,4750004",Southampton
3rd,1,female,27,"12,4750004",Southampton
3rd,0,male,34,"8,05000019",Southampton
3rd,1,female,24,"7,75",Queenstown
3rd,0,male,18,"7,75",Southampton
3rd,0,male,22,"7,89580011",Southampton
3rd,1,female,15,"7,2249999",Cherbourg
3rd,1,female,1,"15,7417002",Cherbourg
3rd,1,male,20,"15,7417002",Cherbourg
3rd,1,female,19,"15,7417002",Cherbourg
3rd,0,male,33,"8,05000019",Southampton
3rd,1,male,12,"11,2417002",Cherbourg
3rd,1,female,14,"11,2417002",Cherbourg
3rd,0,female,29,"7,92500019",Southampton
3rd,0,male,28,"8,05000019",Southampton
3rd,1,female,18,"7,7750001",Southampton
3rd,1,female,26,"7,85419989",Southampton
3rd,0,male,21,"7,85419989",Southampton
3rd,0,male,41,"7,125",Southampton
3rd,1,male,39,"7,92500019",Southampton
3rd,0,male,21,"7,80000019",Southampton
3rd,0,male,"28,5","7,22919989",Cherbourg
3rd,1,female,22,"7,75",Southampton
3rd,0,male,61,"6,23750019",Southampton
3rd,0,male,23,"9,22500038",Southampton
3rd,1,female,22,"7,7750001",Southampton
3rd,1,male,9,"3,17079997",Southampton
3rd,0,male,28,"22,5249996",Southampton
3rd,0,male,42,"8,4041996",Southampton
3rd,0,female,31,"7,85419989",Southampton
3rd,0,male,28,"7,85419989",Southampton
3rd,1,male,32,"7,7750001",Southampton
3rd,0,male,20,"9,22500038",Southampton
3rd,0,female,23,"8,66250038",Southampton
3rd,0,female,20,"8,66250038",Southampton
3rd,0,male,20,"8,66250038",Southampton
3rd,0,male,16,"9,2166996",Southampton
3rd,1,female,31,"8,68330002",Southampton
3rd,0,male,2,"21,0750008",Southampton
3rd,0,male,6,"21,0750008",Southampton
3rd,0,female,3,"21,0750008",Southampton
3rd,0,female,8,"21,0750008",Southampton
3rd,0,female,29,"21,0750008",Southampton
3rd,0,male,1,"39,6875",Southampton
3rd,0,male,7,"39,6875",Southampton
3rd,0,male,2,"39,6875",Southampton
3rd,0,male,16,"39,6875",Southampton
3rd,0,male,14,"39,6875",Southampton
3rd,0,female,41,"39,6875",Southampton
3rd,0,male,21,"8,66250038",Southampton
3rd,0,male,19,"14,5",Southampton
3rd,0,male,32,"7,89580011",Southampton
3rd,0,male,"0,75","13,7749996",Southampton
3rd,0,female,3,"13,7749996",Southampton
3rd,0,female,26,"13,7749996",Southampton
3rd,0,male,21,"7,92500019",Southampton
3rd,0,male,25,"7,92500019",Southampton
3rd,0,male,22,"7,25",Southampton
3rd,1,male,25,"7,7750001",Southampton
3rd,0,male,24,"8,05000019",Southampton
3rd,0,female,28,"7,89580011",Southampton
3rd,0,male,19,"7,89580011",Southampton
3rd,0,male,25,"7,7750001",Southampton
3rd,0,female,18,"7,7750001",Southampton
3rd,1,male,32,"8,05000019",Southampton
3rd,0,male,17,"8,66250038",Southampton
3rd,0,male,24,"8,66250038",Southampton
3rd,0,male,38,"7,89580011",Southampton
3rd,0,male,21,"8,05000019",Southampton
3rd,0,male,10,"29,125",Queenstown
3rd,0,male,4,"29,125",Queenstown
3rd,0,male,7,"29,125",Queenstown
3rd,0,male,2,"29,125",Queenstown
3rd,0,male,8,"29,125",Queenstown
3rd,0,female,39,"29,125",Queenstown
3rd,0,female,22,"39,6875",Southampton
3rd,0,male,35,"7,125",Southampton
3rd,0,male,50,"14,5",Southampton
3rd,0,female,47,"14,5",Southampton
3rd,0,female,2,"20,2124996",Southampton
3rd,0,male,18,"20,2124996",Southampton
3rd,0,female,41,"20,2124996",Southampton
3rd,0,male,50,"8,05000019",Southampton
3rd,0,male,16,"8,05000019",Southampton
3rd,0,male,25,"7,2249999",Cherbourg
3rd,0,male,"38,5","7,25",Southampton
3rd,0,male,"14,5","69,5500031",Southampton
3rd,0,male,24,"9,32499981",Southampton
3rd,1,female,21,"7,6500001",Southampton
3rd,0,male,39,"7,92500019",Southampton
3rd,1,female,1,"16,7000008",Southampton
3rd,1,female,24,"16,7000008",Southampton
3rd,1,female,4,"16,7000008",Southampton
3rd,1,male,25,"9,5",Southampton
3rd,0,male,20,"8,05000019",Southampton
3rd,0,male,"24,5","8,05000019",Southampton
3rd,1,male,29,"9,5",Southampton
3rd,0,male,22,"7,22919989",Cherbourg
3rd,0,male,40,"7,89580011",Southampton
3rd,0,male,21,"7,92500019",Southampton
3rd,1,female,18,"7,49580002",Southampton
3rd,0,male,4,"27,8999996",Southampton
3rd,0,male,10,"27,8999996",Southampton
3rd,0,female,9,"27,8999996",Southampton
3rd,0,female,2,"27,8999996",Southampton
3rd,0,male,40,"27,8999996",Southampton
3rd,0,female,45,"27,8999996",Southampton
3rd,0,male,19,"7,6500001",Southampton
3rd,0,male,30,"8,05000019",Southampton
3rd,0,male,32,"8,05000019",Southampton
3rd,0,male,33,"8,66250038",Cherbourg
3rd,1,female,23,"7,55000019",Southampton
3rd,0,male,21,"8,05000019",Southampton
3rd,0,male,19,"7,89580011",Southampton
3rd,0,female,22,"9,83749962",Southampton
3rd,1,male,31,"7,92500019",Southampton
3rd,0,male,27,"8,66250038",Southampton
3rd,0,female,2,"10,4624996",Southampton
3rd,0,female,29,"10,4624996",Southampton
3rd,1,male,16,"8,05000019",Southampton
3rd,1,male,44,"7,92500019",Southampton
3rd,0,male,25,"7,05000019",Southampton
3rd,0,male,74,"7,7750001",Southampton
3rd,1,male,14,"9,22500038",Southampton
3rd,0,male,24,"7,79580021",Southampton
3rd,1,male,25,"7,79580021",Southampton
3rd,0,male,34,"8,05000019",Southampton
3rd,1,male,"0,416700006","8,51669979",Cherbourg
3rd,1,female,16,"8,51669979",Cherbourg
3rd,0,male,32,"7,92500019",Southampton
3rd,0,male,"30,5","8,05000019",Southampton
3rd,0,male,44,"8,05000019",Southampton
3rd,1,male,25,0,Southampton
3rd,1,male,7,"15,2458",Cherbourg
3rd,1,female,9,"15,2458",Cherbourg
3rd,1,female,29,"15,2458",Cherbourg
3rd,0,male,36,"7,89580011",Southampton
3rd,1,female,18,"9,8416996",Southampton
3rd,1,female,63,"9,58749962",Southampton
3rd,0,male,"11,5","14,5",Southampton
3rd,0,male,"40,5","14,5",Southampton
3rd,0,female,10,"24,1499996",Southampton
3rd,0,male,36,"24,1499996",Southampton
3rd,0,female,30,"24,1499996",Southampton
3rd,0,male,33,"9,5",Southampton
3rd,0,male,28,"9,5",Southampton
3rd,0,male,28,"9,5",Southampton
3rd,0,male,47,9,Southampton
3rd,0,female,18,18,Southampton
3rd,0,male,31,18,Southampton
3rd,0,male,16,18,Southampton
3rd,0,female,31,18,Southampton
3rd,1,male,22,"7,2249999",Cherbourg
3rd,0,male,20,"7,85419989",Southampton
3rd,0,female,14,"7,85419989",Southampton
3rd,0,male,22,"7,89580011",Southampton
3rd,0,male,22,9,Southampton
3rd,0,male,"32,5","9,5",Southampton
3rd,1,female,38,"7,22919989",Cherbourg
3rd,0,male,51,"7,75",Southampton
3rd,0,male,18,"6,49580002",Southampton
3rd,0,male,21,"6,49580002",Southampton
3rd,1,female,47,7,Southampton
3rd,0,male,"28,5","16,1000004",Southampton
3rd,0,male,21,"7,25",Southampton
3rd,0,male,27,"8,66250038",Southampton
3rd,0,male,36,"9,5",Southampton
3rd,0,male,27,"14,4541998",Cherbourg
3rd,1,female,15,"14,4541998",Cherbourg
3rd,0,male,"45,5","7,2249999",Cherbourg
3rd,0,female,"14,5","14,4541998",Cherbourg
3rd,0,male,"26,5","7,2249999",Cherbourg
3rd,0,male,27,"7,2249999",Cherbourg
3rd,0,male,29,"7,875",Southampton
